Объект;Название ОИ;ДЦ источник;№ОИ;UID;ДЦ получатель;№ОИ;UID;Комментарии;передача в ИА
ПС 500 кВ Курдюм;Курдюм АТ-3 500/220 Q;ОДУ Средней Волги;431;76926245-3526-400d-8131-7bfb9d093280;Пензенское РДУ;3114;b560fb40-a9d2-4866-a9b9-fa5bfc8abb78;Несоответсвие привязки в ИМ;True
ГЭС Нижнекамская ГЭС;ВЛ 500 кВ Нижнекамская ГЭС – Щёлоков Uab;ОДУ Средней Волги;448;9371317b-8556-4e07-b4d1-445c8ffb5223;Нижегородское РДУ;14060;d9ab5422-bdd6-4360-be22-9e7552d800da;Несоответсвие привязки в ИМ;False
ГЭС Нижнекамская ГЭС;ВЛ 500 кВ Нижнекамская ГЭС-Заинская ГРЭС Uab;РДУ Татарстана;650;0d97f05b-d8f9-454b-9c07-a61ae35c1895;ОДУ Средней Волги;456;0d87c89d-ba4c-4771-b07c-fa7390d7bfe9;Несоответсвие привязки в ИМ;False
ПС 500 кВ Помары;Помары ВЛ 500 кВ Помары - Киндери Uср;ОДУ Средней Волги;514;ea27443d-00cc-487e-89df-d3633eb933d2;РДУ Татарстана;3300;3f32a8fc-0fc2-4827-a8ff-67075b416d2a;Несоответсвие привязки в ИМ;True
ПС 500 кВ Красноармейская;Красноармейская Uab ТН-1-500;Самарское РДУ;4260;fe9d8c0f-3b1b-4ade-aa1a-dfeb10c6c438;ОДУ Средней Волги;552;a2fbb58c-d6b9-488e-be01-d7f9206ee397;Несоответсвие привязки в ИМ;True
ПС 500 кВ Красноармейская;Красноармейская Uab ТН-1-220;Самарское РДУ;4300;ffb0a7aa-0819-4e39-afbf-6d8ff53e64ba;ОДУ Средней Волги;553;da02f8bd-4acd-44c1-9c48-80f60b789539;Несоответсвие привязки в ИМ;True
ПС 500 кВ Красноармейская;Красноармейская Uab ТН-2-220;Самарское РДУ;4304;6bd978ea-530d-40d2-86f4-b842cd2a1bd0;ОДУ Средней Волги;554;5d949c10-8752-4e5e-bbb6-07761b29b736;Несоответсвие привязки в ИМ;True
ПС 500 кВ Удмуртская;Удмуртская-Щелоков ТН ВЛ 500кВ Uср.л;ОДУ Средней Волги;742;28f91c42-e2d8-4f38-aec3-d42088b0b2a9;Пензенское РДУ;14930;4ee73c46-c40a-4eff-9521-c70340d25251;Несоответсвие привязки в ИМ;False
ПС 220 кВ Сызрань;СамЭС U220 Сызрань;Самарское РДУ;264;45348881-b64d-405a-9d9f-a47ee1a1506a;ОДУ Средней Волги;765;4037bd7b-4d3c-4939-b6c4-7034dcc3763d;Несоответсвие привязки в ИМ;True
ТЭЦ ТЭЦ ВАЗа;СамЭС U220 ТЭЦ ВАЗ;Самарское РДУ;3355;3d96b6e9-4795-485a-9e56-f5f8de56cd61;ОДУ Средней Волги;769;e03c0d6d-b1e4-412c-96d4-ed47e371b42c;Несоответсвие привязки в ИМ;True
