Объект;ДЦ источник;Название ОИ;Категория;№ОИ;UID OI;UID PO;ДЦ получатель;Название ОИ;Категория;№ОИ;UID OI;UID PO;Комментарии;передача в ИА
РДУ Татарстана;РДУ Татарстана;H6611;ПВ;6611;78ecebce-fe4b-4d59-be9e-ee7a0ec572cc;8f2aa805-582b-4516-b253-383d73d51e94;ОДУ Средней Волги;Потр. ЭС Республики Татарстан;ПВ;74;53d4d09b-212e-4fa6-bfd6-f3dc19d5739f;8f2aa805-582b-4516-b253-383d73d51e94;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H47;ПВ;47;28adf990-3ed5-452e-89a3-11fcaaef3fdb;448515b6-defc-4276-8be4-799ca9e166b5;ОДУ Средней Волги;Нагр.ТЭС ЭС Нижегородской области;ПВ;2514;ef1ff6c5-d8a7-49a0-9597-bd6af692752f;448515b6-defc-4276-8be4-799ca9e166b5;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Татарстана;РДУ Татарстана;H7227;ПВ;7227;519acde6-eceb-49cd-8b03-b31d3107336f;dc498ae8-c41e-44a6-8122-9f3ba5335816;ОДУ Средней Волги;Нагрузка Мини-ТЭЦ Кастамону-2;ПВ;1378;ceee70d8-21c3-4b21-b312-cdf4103bef36;dc498ae8-c41e-44a6-8122-9f3ba5335816;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H565;ПВ;565;eac028f6-2fca-44c4-912b-a0d2b0c9d848;d7f607ef-8692-4f54-a6db-3bb819ac3af8;ОДУ Средней Волги;Дзержинская ТЭЦ (ТГ1,2,4,5,6);ПВ;2649;7dd06ebd-b96d-4400-b7e0-c0fb2ceffd44;d7f607ef-8692-4f54-a6db-3bb819ac3af8;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H601;ПВ;601;319aa24a-e7c4-414e-974b-bd045e566905;ddb5a944-3e72-4f46-9746-762461c49ea3;ОДУ Средней Волги;Потр. Дзержинской ТЭЦ;ПВ;2798;c3da9b48-980f-49e3-9221-650fb5bf385d;ddb5a944-3e72-4f46-9746-762461c49ea3;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H602;ПВ;602;3c67edb2-4a23-42aa-8ebf-7b3016e59961;1bcfeed8-2748-4fc6-8000-08e9adf041cb;ОДУ Средней Волги;Потр. Сормовской ТЭЦ;ПВ;2800;bcdd4651-d626-4d71-b1d5-96af07dbaee7;1bcfeed8-2748-4fc6-8000-08e9adf041cb;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H598;ПВ;598;351e041d-7072-4512-a4c7-d503a0282e65;274afcd6-7043-4d6d-aa79-e83527ef4ecb;ОДУ Средней Волги;Потр. Нижегородской ГРЭС;ПВ;2804;027e0f0b-afc0-40e2-ae83-f5169dcf6569;274afcd6-7043-4d6d-aa79-e83527ef4ecb;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H600;ПВ;600;96fcdd7d-859b-42a0-9135-81b8c14afab5;bc5327b3-2087-4844-b076-692e388f8406;ОДУ Средней Волги;Потр. Новогорьковской ТЭЦ;ПВ;2807;00ecf45c-15e4-43e9-8d09-53a2d27369ee;bc5327b3-2087-4844-b076-692e388f8406;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H1569;ПВ;1569;cfac0eab-af65-4586-81ee-3448cf6c4816;d7be926f-0731-4b0c-8bf9-30babdb38057;ОДУ Средней Волги;Рез. вр. Автозаводской ТЭЦ;ПВ;2914;cc198bdb-c50d-46c6-899f-d9e5e04409ad;d7be926f-0731-4b0c-8bf9-30babdb38057;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H1509;ПВ;1509;a49b2fa3-e1da-4f2c-8bcc-7488f38cbbdd;0a17814e-8dd2-4e4f-b47f-4f11e3f79e52;ОДУ Средней Волги;Потр. Автозаводской ТЭЦ;ПВ;3024;1c376dad-1997-40cd-8ce6-8d9c10f6b948;0a17814e-8dd2-4e4f-b47f-4f11e3f79e52;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H1510;ПВ;1510;573d5d5b-6b9c-4cfb-bc72-dd550523373c;5990fe7b-9d56-4fe7-9ce0-27b898fe496b;ОДУ Средней Волги;НЭС потребление НижТЭЦ-1;ПВ;3025;71f3451b-eb2c-478b-ab90-4e9f097bf36a;5990fe7b-9d56-4fe7-9ce0-27b898fe496b;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H1293;ПВ;1293;5cbddc94-6c27-4b99-8fab-77da3b0c0e11;8cf8c824-df53-4ca7-8ab2-c53c3dfee9cd;ОДУ Средней Волги;Рез. вр. Сормовской ТЭЦ;ПВ;2909;7ccc8261-f388-4bcf-b467-6708627915e4;8cf8c824-df53-4ca7-8ab2-c53c3dfee9cd;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H1290;ПВ;1290;03ee9c6b-7de2-4755-948e-a772e9741a92;7ef6ea6b-db01-4f5f-95d3-92f1e66bdde8;ОДУ Средней Волги;Вр.рез.Дзерж.ТЭЦ (ТГ1,2,4,5,6);ПВ;2913;ee98c00b-1d9d-4b59-a5fa-f122db18b094;7ef6ea6b-db01-4f5f-95d3-92f1e66bdde8;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
ЭС Республики Марий Эл.;Нижегородское РДУ;H2837;ПВ;2837;e5fbca26-8ef6-4a56-9afb-ff4ad9d09d2c;f00ce9b5-fe85-4821-a95b-9a284818644e;ОДУ Средней Волги;Нагр. ТЭС пп. Энергосистемы Республики Марий Эл;ПВ;388;666763ea-798c-40b4-8bb6-2ff8aa10ebd3;0cf4e3d8-dd9e-416f-a964-1cc8ae19860e;Несоответсвие привязки в ИМ;False
РДУ Нижегородское;Нижегородское РДУ;H978;ПВ;978;5454c8b7-b435-48ec-97ae-8394c2424a2b;f99967c9-d6c1-4b9c-aa1b-9e5fcfce8295;ОДУ Средней Волги;НиГЭС В.Б;ПВ;2585;f6cbac64-5aea-4104-b3cd-f1ea580d15a3;f99967c9-d6c1-4b9c-aa1b-9e5fcfce8295;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
РДУ Нижегородское;Нижегородское РДУ;H24;ПВ;24;2fdf8aac-2d88-4fb3-ac42-9fdfb07c4369;c36e1dd3-9eea-4a54-87e5-1c17384da6ff;ОДУ Средней Волги;Нагр. Нижегородской ГЭС;ПВ;2513;e25386a8-65ea-4005-9421-2032617a8443;c36e1dd3-9eea-4a54-87e5-1c17384da6ff;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
ГЭС Чебоксарская ГЭС;Нижегородское РДУ;H2750;ПВ;2750;6d44853c-8946-43e4-8320-e9f692a96c79;df67b0dd-8afa-41cd-b415-a311f689a345;ОДУ Средней Волги;Нагр. Чебоксарской ГЭС;ПВ;104;8b160491-755f-4af6-b0ab-31cbeac1518c;df67b0dd-8afa-41cd-b415-a311f689a345;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
